episode,step,agent_id,observation,continuous_action,discrete_action,reward,done,action
0,2,6,"[-0.13993895053863525, -0.038268256932497025, -0.10452842712402344, 3.741016387939453, 0.4998183250427246, 0.0, -2.1581990718841553, 0.0]","[0.16533155739307404, -0.15465638041496277]",[],0.1,False,
0,2,7,"[0.13761773705482483, 0.07013849914073944, -0.7351281642913818, 3.741016387939453, -0.3298468589782715, 0.0, -2.1581990718841553, 0.0]","[-0.6339199542999268, -0.9413215517997742]",[],0.1,False,
0,2,8,"[-0.04055164009332657, -0.013587717898190022, 0.9513959884643555, 3.741016387939453, 1.4454998970031738, 0.0, -2.1581990718841553, 0.0]","[0.13045424222946167, -0.5722765326499939]",[],0.1,False,
0,2,9,"[0.002139439806342125, 0.01608133502304554, 0.4764818549156189, 3.741016387939453, -0.8133816719055176, 0.0, -2.1581990718841553, 0.0]","[-0.5509599447250366, 0.5509235858917236]",[],0.1,False,
0,2,10,"[0.07133568823337555, 0.009058022871613503, -0.7088899612426758, 3.741016387939453, 0.03386116027832031, 0.0, -2.1581990718841553, 0.0]","[0.4226852357387543, 0.6564133763313293]",[],0.1,False,
0,2,11,"[0.1449848860502243, 0.14994710683822632, 0.6477146148681641, 3.741016387939453, -0.6726169586181641, 0.0, -2.1581990718841553, 0.0]","[0.5055844783782959, 0.33702728152275085]",[],0.1,False,
0,3,0,"[0.23780491948127747, 0.01463041640818119, 1.1739501953125, 3.8578031063079834, 0.016845226287841797, -0.2962908148765564, 0.06840780377388, 0.21440327167510986]","[0.7666464447975159, 0.7744554877281189]",[],0.1,False,
0,3,1,"[0.14011043310165405, 0.09277481585741043, -0.8118343353271484, 3.466336488723755, -1.255174160003662, 0.0, -3.1391985416412354, 0.0]","[-0.1321936547756195, 0.7932273149490356]",[],0.1,False,
0,3,2,"[-0.029420971870422363, -0.2520495355129242, -0.46013641357421875, 3.466336250305176, 0.002681732177734375, 0.0, -3.1391985416412354, 0.0]","[0.4828728139400482, 0.3484436869621277]",[],0.1,False,
0,3,3,"[-0.04192039743065834, -0.062273409217596054, -0.042514801025390625, 3.466336727142334, -0.30794620513916016, 0.0, -3.1391985416412354, 0.0]","[0.9125328063964844, -0.15173041820526123]",[],0.1,False,
0,3,4,"[0.0005282465135678649, -0.11437002569437027, -0.8452663421630859, 3.466336250305176, -0.8170504570007324, 0.0, -3.1391985416412354, 0.0]","[0.06038809195160866, -0.12986360490322113]",[],0.1,False,
0,3,5,"[0.1337321549654007, 0.010690435767173767, 1.4529025554656982, 3.5363235473632812, -1.2711589336395264, -0.5639663934707642, -0.1560373306274414, 0.04450199753046036]","[-0.28536850214004517, 0.8776811957359314]",[],0.1,False,
0,3,6,"[-0.12553536891937256, -0.05151057988405228, -0.10452842712402344, 3.466336250305176, 0.4998183250427246, 0.0, -3.1391985416412354, 0.0]","[-0.40784332156181335, -0.28673937916755676]",[],0.1,False,
0,3,7,"[0.08281099051237106, -0.01159912534058094, -0.7351281642913818, 3.466336727142334, -0.3298468589782715, 0.0, -3.1391985416412354, 0.0]","[-0.3956381380558014, -0.13162444531917572]",[],0.1,False,
0,3,8,"[-0.02912224270403385, -0.06344597041606903, 0.9513959884643555, 3.466336488723755, 1.4454998970031738, 0.0, -3.1391985416412354, 0.0]","[-0.41246598958969116, 0.5543025732040405]",[],0.1,False,
0,3,9,"[-0.0455692894756794, 0.06441425532102585, 0.4764818549156189, 3.466336488723755, -0.8133816719055176, 0.0, -3.1391985416412354, 0.0]","[-0.06334181129932404, 0.35689690709114075]",[],0.1,False,
0,3,10,"[0.10699179768562317, 0.0666922852396965, -0.7088899612426758, 3.466336727142334, 0.03386116027832031, 0.0, -3.1391985416412354, 0.0]","[0.4707396626472473, -0.9623210430145264]",[],0.1,False,
0,3,11,"[0.18810538947582245, 0.1782137155532837, 0.5250129699707031, 3.89003324508667, -0.5532512664794922, -0.5668710470199585, -0.4610103368759155, 0.5612106919288635]","[-0.9556894302368164, -0.024507425725460052]",[],0.1,False,
0,4,0,"[0.26259472966194153, 0.08029799163341522, 1.1651535034179688, 3.868173599243164, 0.04043865203857422, -0.07054425776004791, -0.18402409553527832, 0.23850205540657043]","[0.38718941807746887, 0.606943666934967]",[],0.1,False,
0,4,1,"[0.12909594178199768, 0.16086448729038239, -0.883601188659668, 3.4245126247406006, -1.1781961917877197, -0.6605817675590515, -0.4116327166557312, 0.6662240028381348]","[0.04064178094267845, -0.6253709197044373]",[],0.1,False,
0,4,2,"[0.010720454156398773, -0.221523717045784, -0.457427978515625, 3.3329992294311523, -0.08092975616455078, 0.03361976519227028, -1.1368422508239746, -1.0389750003814697]","[-0.36535054445266724, -0.4663355350494385]",[],0.1,False,
0,4,3,"[0.03754739463329315, -0.07529212534427643, -0.042514801025390625, 3.0935568809509277, -0.30794620513916016, 0.0, -4.1201982498168945, 0.0]","[0.7084416747093201, 0.4330722391605377]",[],0.1,False,
0,4,4,"[0.005811671726405621, -0.1255970448255539, -0.8452663421630859, 3.0935564041137695, -0.8170504570007324, 0.0, -4.1201982498168945, 0.0]","[0.3993755578994751, 0.7830260992050171]",[],0.1,False,
0,4,5,"[0.10872261971235275, 0.08654919266700745, 1.3586008548736572, 3.6394805908203125, -1.2480182647705078, -0.7089540362358093, -0.17889699339866638, 0.11793604493141174]","[-0.5014955401420593, 0.2019953578710556]",[],0.1,False,
0,4,6,"[-0.16042758524417877, -0.0765727236866951, -0.056606292724609375, 3.293026924133301, 0.47671031951904297, 0.7968227863311768, -0.33016496896743774, -0.3829564154148102]","[-0.5913854837417603, -0.6482248902320862]",[],0.1,False,
0,4,7,"[0.048334136605262756, -0.022969666868448257, -0.7351281642913818, 3.0935568809509277, -0.3298468589782715, 0.0, -4.1201982498168945, 0.0]","[0.8323004841804504, -0.5743356347084045]",[],0.1,False,
0,4,8,"[-0.06503678113222122, -0.01519610546529293, 0.9513959884643555, 3.0935568809509277, 1.4454998970031738, 0.0, -4.1201982498168945, 0.0]","[-0.3643806278705597, 0.46706920862197876]",[],0.1,False,
0,4,9,"[-0.05085252970457077, 0.09545890986919403, 0.4826577305793762, 3.1778433322906494, -0.8015689849853516, 0.2844219207763672, -0.1351776123046875, 0.5440181493759155]","[0.6304729580879211, -0.20522764325141907]",[],0.1,False,
0,4,10,"[0.14887917041778564, -0.015851132571697235, -0.7088899612426758, 3.0935568809509277, 0.03386116027832031, 0.0, -4.1201982498168945, 0.0]","[-0.44543811678886414, 0.815530002117157]",[],0.1,False,
0,4,11,"[0.10698658972978592, 0.1761411726474762, 0.4683265686035156, 3.7850723266601562, -0.4971299171447754, -0.5668710470199585, -1.4420098066329956, 0.5612106919288635]","[0.6661770939826965, 0.18221087753772736]",[],0.1,False,
0,5,0,"[0.2609611451625824, 0.13107576966285706, 1.1897659301757812, 3.8492300510406494, 0.06698846817016602, 0.3298591077327728, -0.34611475467681885, 0.2695748209953308]","[-0.06366201490163803, 0.6968571543693542]",[],0.1,False,
0,5,1,"[0.13238763809204102, 0.10725647211074829, -0.9496574401855469, 3.3244893550872803, -1.1115736961364746, -0.6605817675590515, -1.392632246017456, 0.6662240028381348]","[0.9020319581031799, 0.02313448116183281]",[],0.1,False,
0,5,2,"[-0.019422132521867752, -0.2539277970790863, -0.45378684997558594, 3.316134452819824, -0.25051355361938477, 0.03201325237751007, -0.8275364637374878, -1.462615966796875]","[0.7667679786682129, 0.9678329825401306]",[],0.1,False,
0,5,3,"[0.098773293197155, -0.03718008100986481, -0.08164501190185547, 3.023591995239258, -0.341433048248291, -0.4633084833621979, -0.12327058613300323, -0.4063342213630676]","[-0.9473667740821838, -0.2588476836681366]",[],0.1,False,
0,5,4,"[0.039950333535671234, -0.0573439821600914, -0.8573808670043945, 2.8605966567993164, -0.841728687286377, -0.23732899129390717, -0.07548902928829193, -0.48910418152809143]","[-0.036118034273386, -0.41181209683418274]",[],0.1,False,
0,5,5,"[0.0651065781712532, 0.10352008789777756, 1.2877053022384644, 3.5627307891845703, -1.236224889755249, -0.7089540362358093, -1.1598964929580688, 0.11793604493141174]","[-0.8270381093025208, 0.962550163269043]",[],0.1,False,
0,5,6,"[-0.2100915014743805, -0.13244736194610596, 0.12086963653564453, 3.4654598236083984, 0.37941741943359375, 0.9349887371063232, -0.5705973505973816, -0.46991464495658875]","[-0.6856842637062073, -0.24283179640769958]",[],0.1,False,
0,5,7,"[0.12042564898729324, -0.07306834310293198, -0.7757834196090698, 2.8755950927734375, -0.35431385040283203, -0.700219988822937, -0.23730707168579102, -0.4211340546607971]","[-0.7726288437843323, -0.8282511234283447]",[],0.1,False,
0,5,8,"[-0.09658274799585342, 0.025515837594866753, 0.9765100479125977, 2.816382884979248, 1.4504523277282715, 0.6168138384819031, -0.31330445408821106, 0.12162955850362778]","[-0.0653069019317627, -0.9141706824302673]",[],0.1,False,
0,5,9,"[0.0037401753943413496, 0.07707284390926361, 0.5122831463813782, 3.1559648513793945, -0.7411952018737793, 0.3022279143333435, -0.10087013244628906, 0.6673353314399719]","[-0.5494685769081116, 0.9521070718765259]",[],0.1,False,
0,5,10,"[0.10943947732448578, 0.054256655275821686, -0.7618255615234375, 2.9159374237060547, 0.04665946960449219, -0.8648401498794556, -0.21571572124958038, 0.20687313377857208]","[0.05371440201997757, 0.35821276903152466]",[],0.1,False,
0,5,11,"[0.16356278955936432, 0.19176314771175385, 0.3722877502441406, 3.7263336181640625, -0.3928651809692383, -0.9138728976249695, -0.7565841674804688, 0.9999489188194275]","[-0.8141453862190247, -0.3952917158603668]",[],0.1,False,
0,6,0,"[0.2528650760650635, 0.1887194812297821, 1.2657833099365234, 3.808868169784546, 0.09575891494750977, 0.5491683483123779, -0.8687137961387634, 0.26982179284095764]","[0.39344125986099243, 0.919766366481781]",[],0.1,False,
0,6,1,"[0.20947934687137604, 0.10833791643381119, -1.0211997032165527, 3.1468329429626465, -1.0419058799743652, -0.9335620403289795, -1.3495904207229614, 0.8179959058761597]","[-0.23153048753738403, 0.16943146288394928]",[],0.1,False,
0,6,2,"[0.04318167641758919, -0.16952888667583466, -0.45058250427246094, 3.174520492553711, -0.3967761993408203, 0.03201325237751007, -1.8085359334945679, -1.462615966796875]","[0.022683214396238327, 0.6195774078369141]",[],0.1,False,
0,6,3,"[0.016551701352000237, -0.06046285852789879, -0.1287851333618164, 2.9736695289611816, -0.3836784362792969, -0.4948213994503021, -0.2517552375793457, -0.47962936758995056]","[0.8135085105895996, 0.0808861255645752]",[],0.1,False,
0,6,4,"[0.037137825042009354, -0.09317877143621445, -0.8825969696044922, 2.826284408569336, -0.8936762809753418, -0.27258962392807007, -0.3627461791038513, -0.5637475252151489]","[0.21774683892726898, -0.1414910852909088]",[],0.1,False,
0,6,5,"[-0.008115390315651894, 0.18509235978126526, 1.210325002670288, 3.6303176879882812, -1.160949945449829, -0.7621418237686157, -0.17611056566238403, 0.5054369568824768]","[-0.7203562259674072, 0.6971049904823303]",[],0.1,False,
0,6,6,"[-0.2558385133743286, -0.15350529551506042, 0.31716346740722656, 3.5559959411621094, 0.2684955596923828, 1.1581867933273315, -0.903760552406311, -0.6075296401977539]","[-0.865203320980072, 0.7198644280433655]",[],0.1,False,
0,6,7,"[0.05278073996305466, -0.14394041895866394, -0.8632456064224243, 2.9243202209472656, -0.4238128662109375, -0.7950908541679382, -0.2542243003845215, -0.5705738663673401]","[0.1722215861082077, -0.19623138010501862]",[],0.1,False,
0,6,8,"[-0.102353036403656, -0.05381891131401062, 1.0870256423950195, 3.002058267593384, 1.449878215789795, 0.739005982875824, -0.14414627850055695, 0.09078612923622131]","[-0.38017281889915466, -0.19945289194583893]",[],0.1,False,
0,6,9,"[-0.043050602078437805, 0.16001003980636597, 0.5521316528320312, 3.3211538791656494, -0.619389533996582, 0.3100984990596771, -0.28279078006744385, 0.7643924355506897]","[-0.8495482206344604, -0.7481087446212769]",[],0.1,False,
0,6,10,"[0.11349231749773026, 0.08532409369945526, -0.8619241714477539, 2.9123125076293945, 0.07631349563598633, -1.0063494443893433, -0.28679507970809937, 0.3036949038505554]","[0.2579914927482605, -0.5049194693565369]",[],0.1,False,
0,6,11,"[0.09442166239023209, 0.15783029794692993, 0.2808971405029297, 3.5918149948120117, -0.29287004470825195, -0.9138728976249695, -1.7375836372375488, 0.9999489188194275]","[-0.12692955136299133, 0.7995830178260803]",[],0.1,False,
0,7,0,"[0.25418153405189514, 0.264464408159256, 1.3325843811035156, 3.6844370365142822, 0.1220388412475586, 0.6922054886817932, -1.5888227224349976, 0.26256898045539856]","[0.4225355088710785, 0.9620155692100525]",[],0.1,False,
0,7,1,"[0.19000394642353058, 0.12299169600009918, -1.1694064140319824, 3.098706007003784, -0.9306035041809082, -1.4271774291992188, -0.8768749237060547, 1.0827120542526245]","[-0.8365456461906433, -0.1781385838985443]",[],0.1,False,
0,7,2,"[0.04303808510303497, -0.11603738367557526, -0.44737815856933594, 2.9348068237304688, -0.5430388450622559, 0.03201325237751007, -2.7895355224609375, -1.462615966796875]","[0.594444990158081, -0.19440703094005585]",[],0.1,False,
0,7,3,"[0.08724813908338547, -0.05280847102403641, -0.18584632873535156, 2.982015609741211, -0.43994665145874023, -0.573308527469635, -0.16172394156455994, -0.5641077756881714]","[0.9033294320106506, 0.32603493332862854]",[],0.1,False,
0,7,4,"[0.056139830499887466, -0.10527779906988144, -0.9127159118652344, 2.7781877517700195, -0.9561939239501953, -0.3284614086151123, -0.5000296831130981, -0.6791629195213318]","[0.5914760231971741, 0.20715631544589996]",[],0.1,False,
0,7,5,"[-0.07149244844913483, 0.24240931868553162, 1.1509382724761963, 3.754000663757324, -1.0496721267700195, -0.7018718719482422, 0.00018528103828430176, 0.7534313201904297]","[0.003776139346882701, 0.2698326110839844]",[],0.1,False,
0,7,6,"[-0.256306529045105, -0.09329122304916382, 0.4329824447631836, 3.4067602157592773, 0.20774173736572266, 1.1581867933273315, -1.8847600221633911, -0.6075296401977539]","[-0.1563349813222885, -0.6878255009651184]",[],0.1,False,
0,7,7,"[0.06732340157032013, -0.1610802859067917, -0.9488987326622009, 2.8976593017578125, -0.49506521224975586, -0.8787698745727539, -0.38098961114883423, -0.7698929309844971]","[-0.28855952620506287, 0.9875511527061462]",[],0.1,False,
0,7,8,"[-0.13518589735031128, -0.07114382088184357, 1.183779239654541, 3.028214931488037, 1.4484691619873047, 0.9135041236877441, -0.2536180019378662, 0.013711776584386826]","[-0.3978734314441681, 0.16959474980831146]",[],0.1,False,
0,7,9,"[-0.11625578254461288, 0.09566383063793182, 0.583141565322876, 3.2340147495269775, -0.5429501533508301, 0.3100984990596771, -1.2637903690338135, 0.7643924355506897]","[0.06970510631799698, 0.209378182888031]",[],0.1,False,
0,7,10,"[0.1365160346031189, 0.04211754351854324, -0.9659919738769531, 2.848200798034668, 0.10799837112426758, -1.1202480792999268, -0.607583224773407, 0.3478926122188568]","[-0.3027922809123993, 0.4333142638206482]",[],0.1,False,
0,7,11,"[0.082783542573452, 0.2258991003036499, 0.17127037048339844, 3.483755588531494, -0.1446371078491211, -1.1175585985183716, -0.9540477991104126, 1.5232529640197754]","[-0.032371554523706436, 0.9474080204963684]",[],0.1,False,
0,8,0,"[0.25418153405189514, 0.264464408159256, 1.4175186157226562, 3.4917306900024414, 0.1487593650817871, 1.1210590600967407, -1.9238553047180176, 0.2626831531524658]","[0.2780505120754242, 0.47043296694755554]",[],0.1,False,
0,8,1,"[0.11830805242061615, 0.10821831226348877, -1.327296257019043, 3.0149505138397217, -0.8103528022766113, -1.6894679069519043, -0.7071545124053955, 1.2918416261672974]","[-0.19203689694404602, -0.4964146018028259]",[],0.1,False,
0,8,2,"[0.09508262574672699, -0.13059143722057343, -0.46894073486328125, 2.871396064758301, -0.7411513328552246, -0.26939696073532104, -0.5952318906784058, -2.0509555339813232]","[0.46908262372016907, -0.8995858430862427]",[],0.1,False,
0,8,3,"[0.164926677942276, -0.02352728322148323, -0.2779808044433594, 3.0520195960998535, -0.5042357444763184, -0.7190423607826233, -0.2734798192977905, -0.5902849435806274]","[0.5732556581497192, -0.5026573538780212]",[],0.1,False,
0,8,4,"[0.1070813462138176, -0.08669568598270416, -0.9520988464355469, 2.7261037826538086, -1.031954288482666, -0.46621501445770264, -0.4218052625656128, -0.8258274793624878]","[-0.8168081641197205, -0.3208826184272766]",[],0.1,False,
0,8,5,"[-0.07151518017053604, 0.25151708722114563, 1.0892242193222046, 3.785310745239258, -0.9674434661865234, -0.625803530216217, -0.034836545586586, 0.8289482593536377]","[-0.6392700672149658, -0.7610383629798889]",[],0.1,False,
0,8,6,"[-0.2558808922767639, -0.15083672106266022, 0.6160268783569336, 3.3129634857177734, 0.11165380477905273, 1.704767107963562, -1.318242073059082, -0.8805307745933533]","[0.5887472629547119, -0.10915166884660721]",[],0.1,False,
0,8,7,"[0.04376336559653282, -0.07526374608278275, -1.0419918298721313, 2.8649497032165527, -0.5818123817443848, -0.9648829698562622, -0.22720904648303986, -0.9375762939453125]","[-0.4205276668071747, 0.47166210412979126]",[],0.1,False,
0,8,8,"[-0.16942927241325378, -0.05658237263560295, 1.2751293182373047, 2.943993330001831, 1.4498400688171387, 0.9135041236877441, -1.2346175909042358, 0.013711776584386826]","[-0.11769047379493713, 0.8448187112808228]",[],0.1,False,
0,8,9,"[-0.11034130305051804, 0.11375129967927933, 0.626226007938385, 3.1198043823242188, -0.4538698196411133, 0.6187888383865356, -0.3982221782207489, 1.0852904319763184]","[0.329984188079834, 0.7373468279838562]",[],0.1,False,
0,8,10,"[0.10971231013536453, 0.07915297150611877, -1.1010808944702148, 2.8409433364868164, 0.1543750762939453, -1.339432716369629, -0.37492385506629944, 0.46054235100746155]","[-0.03618336468935013, -0.516297459602356]",[],0.1,False,
0,8,11,"[0.07949890941381454, 0.2578178346157074, 0.03775787353515625, 3.471069812774658, 0.07955741882324219, -1.2104930877685547, -1.27008855342865, 1.7985053062438965]","[0.5799834728240967, -0.3411702513694763]",[],0.1,False,
0,9,0,"[0.25418153405189514, 0.264464408159256, 1.5494461059570312, 3.269118309020996, 0.17499780654907227, 1.4426183700561523, -2.432448148727417, 0.2622400224208832]","[0.0023206511978060007, -0.924796462059021]",[],0.1,False,
0,9,1,"[0.10149439424276352, 0.06540509313344955, -1.4962420463562012, 2.8853750228881836, -0.6811680793762207, -1.6894679069519043, -1.6881539821624756, 1.2918416261672974]","[0.17678222060203552, -0.6589930057525635]",[],0.1,False,
0,9,2,"[0.13863080739974976, -0.20546318590641022, -0.5122127532958984, 2.8250112533569336, -0.9648313522338867, -0.3524932563304901, -1.0426476001739502, -2.108231544494629]","[-0.02064986526966095, -0.9882071018218994]",[],0.1,False,
0,9,3,"[0.2146455943584442, -0.06571073085069656, -0.38779449462890625, 3.072511672973633, -0.5720734596252441, -0.9151883125305176, -0.5140109062194824, -0.6335470676422119]","[-0.24562154710292816, 0.1784074306488037]",[],0.1,False,
0,9,4,"[0.03666646406054497, -0.11534379422664642, -1.0127487182617188, 2.742001533508301, -1.134467601776123, -0.5828158259391785, -0.27678030729293823, -0.9860237240791321]","[0.9347859621047974, -0.41697412729263306]",[],0.1,False,
0,9,5,"[-0.12242476642131805, 0.1846550554037094, 1.0266441106796265, 3.7229671478271484, -0.8845477104187012, -0.625803530216217, -1.0158361196517944, 0.8289482593536377]","[-0.9583660364151001, 0.38569626212120056]",[],0.1,False,
0,9,6,"[-0.20634552836418152, -0.15898670256137848, 0.7880172729492188, 3.127861976623535, 0.022811412811279297, 1.7801079750061035, -2.0198259353637695, -0.9196153283119202]","[-0.6716620922088623, 0.5049450397491455]",[],0.1,False,
0,9,7,"[0.007795207668095827, -0.033613692969083786, -1.1438978910446167, 2.938467502593994, -0.6889095306396484, -0.9911860227584839, -0.08264055848121643, -1.009556531906128]","[-0.6431627869606018, -0.4960200786590576]",[],0.1,False,
0,9,8,"[-0.1789175122976303, 0.016038263216614723, 1.3664793968200684, 2.761671781539917, 1.4512109756469727, 0.9135041236877441, -2.2156171798706055, 0.013711776584386826]","[0.8426929116249084, 0.9199801087379456]",[],0.1,False,
0,9,9,"[-0.08187512308359146, 0.17710332572460175, 0.7222635746002197, 3.222337484359741, -0.28944826126098633, 0.6967413425445557, -0.5754674673080444, 1.2091392278671265]","[0.172620490193367, 0.42288053035736084]",[],0.1,False,
0,9,10,"[0.10735601931810379, 0.03438999503850937, -1.2431669235229492, 2.792600631713867, 0.20437955856323242, -1.4990859031677246, -0.3991686999797821, 0.5331831574440002]","[-0.05417591705918312, -0.9215713739395142]",[],0.1,False,
0,9,11,"[0.1285405158996582, 0.22969964146614075, -0.08857154846191406, 3.3181233406066895, 0.2701888084411621, -1.3429014682769775, -1.4818511009216309, 2.068420648574829]","[0.6233775615692139, -0.11403702199459076]",[],0.1,False,
0,10,0,"[0.25923264026641846, 0.18883731961250305, 1.7121467590332031, 2.9947781562805176, 0.20120000839233398, 1.7495633363723755, -2.9501335620880127, 0.2618751525878906]","[0.7221842408180237, 0.18605250120162964]",[],0.1,False,
0,10,1,"[0.1162041500210762, 0.008147223852574825, -1.6716833114624023, 2.6954541206359863, -0.5512733459472656, -2.013282299041748, -0.7812167406082153, 1.3274489641189575]","[0.15383878350257874, -0.7638596892356873]",[],0.1,False,
